,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
16,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)",[0.82763132 0.84527072 0.83777998 0.82891009],0.8348980263280503,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15')",0.011463249964159357,0.00715120616669697,0.0041287508053730075
15,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15)",[0.83533985 0.85154067 0.83925264 0.83006951],0.8390506685631268,"('0', '1', '2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '13', '14', '15')",0.012684646554743736,0.007913159265327686,0.004568664631977321
14,"(0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15)",[0.82997514 0.85268147 0.83617841 0.83131766],0.8375381700747325,"('0', '2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '13', '14', '15')",0.014494856770846162,0.009042436433747074,0.005220653109153953
13,"(0, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15)",[0.82925955 0.84900573 0.83548949 0.83191068],0.8364163610552955,"('0', '2', '3', '4', '5', '7', '8', '9', '11', '12', '13', '14', '15')",0.012178238568870105,0.007597242930713443,0.004386270251146387
12,"(0, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15)",[0.83345383 0.84534332 0.8342598  0.8286365 ],0.8354233630143489,"('0', '3', '4', '5', '7', '8', '9', '11', '12', '13', '14', '15')",0.009806395631073191,0.006117598161887727,0.003531996945559839
11,"(0, 3, 5, 7, 8, 9, 11, 12, 13, 14, 15)",[0.82702092 0.84263504 0.83510577 0.82288228],0.8319110011698175,"('0', '3', '5', '7', '8', '9', '11', '12', '13', '14', '15')",0.012172164117185599,0.007593453459448192,0.004384082398891309
10,"(0, 3, 5, 7, 8, 11, 12, 13, 14, 15)",[0.82095246 0.83918301 0.83507021 0.82961993],0.8312064048412423,"('0', '3', '5', '7', '8', '11', '12', '13', '14', '15')",0.010937204363806149,0.006823039150102953,0.003939283490003295
