iter	Logloss
0	0.6819970794
1	0.6738761744
2	0.6654733452
3	0.6554274901
4	0.6464004876
5	0.6392325244
6	0.6302556806
7	0.622359058
8	0.6163810371
9	0.6097679242
10	0.6024486314
11	0.5974154236
12	0.5923382283
13	0.58691291
14	0.5824314911
15	0.5769025307
16	0.5715507703
17	0.5660183345
18	0.5614651669
19	0.5577518569
20	0.5538107503
21	0.5504064145
22	0.5466226901
23	0.5424374865
24	0.5379703001
25	0.534367505
26	0.5310102488
27	0.5279369787
28	0.5251895006
29	0.5222037176
30	0.5195501059
31	0.5168881597
32	0.5143921466
33	0.5112793923
34	0.5088525669
35	0.5058127103
36	0.504016109
37	0.5011756593
38	0.4990825805
39	0.497375063
40	0.4953008605
41	0.4926186291
42	0.4904223659
43	0.488745638
44	0.4863283158
45	0.4838536239
46	0.4821662657
47	0.4805288378
48	0.4783639756
49	0.4768036374
50	0.4754184343
51	0.4742775568
52	0.4727509475
53	0.4712863073
54	0.4695901346
55	0.4681522765
56	0.4662375134
57	0.4649972433
58	0.4639618715
59	0.4622869435
60	0.4611934724
61	0.4601474801
62	0.4591904382
63	0.4583180046
64	0.4574667138
65	0.455990001
66	0.4550240887
67	0.4542932073
68	0.4535534712
69	0.4526265608
70	0.4519043039
71	0.4511979381
72	0.450347939
73	0.4491477345
74	0.4481192365
75	0.4475488616
76	0.446859742
77	0.4458693846
78	0.4452446669
79	0.4446854325
80	0.4441626977
81	0.4434410965
82	0.4428264926
83	0.4423511485
84	0.4414925808
85	0.4409115068
86	0.4404464635
87	0.4399483326
88	0.4395474199
89	0.4389191332
90	0.4385230801
91	0.4381865381
92	0.4375486857
93	0.4371148285
94	0.4367101386
95	0.4364131821
96	0.4358748339
97	0.4352729813
98	0.4349123035
99	0.4346315048
100	0.4343377514
101	0.43393878
102	0.4337056141
103	0.4330951936
104	0.432839567
105	0.4326099797
106	0.4323510691
107	0.431850214
108	0.4312737698
109	0.4309865877
110	0.4305007781
111	0.430184507
112	0.4299261156
113	0.4295112498
114	0.4292668007
115	0.4290793102
116	0.4288286237
117	0.428588895
118	0.4283216838
119	0.4281198569
120	0.4279862688
121	0.4277282465
122	0.4275165045
123	0.4272982529
124	0.4270303223
125	0.4265137031
126	0.4262139748
127	0.4258077301
128	0.4256220063
129	0.425484845
130	0.4250283897
131	0.4247349693
132	0.4243586242
133	0.4241412777
134	0.4238890436
135	0.4236212064
136	0.423423046
137	0.4231211969
138	0.4230355564
139	0.4229277868
140	0.4226852625
141	0.4224702179
142	0.422210835
143	0.422022459
144	0.4216948153
145	0.4215613149
146	0.4211713618
147	0.420934294
148	0.4205655201
149	0.4203351068
150	0.4201928133
151	0.4200968548
152	0.4199672411
153	0.4197727346
154	0.4195973835
155	0.4193347928
156	0.4191111564
157	0.4189803954
158	0.4188076379
159	0.4186786193
160	0.4186254336
161	0.4185357318
162	0.4183429404
163	0.4181130595
164	0.4179458095
165	0.4177790807
166	0.4175834801
167	0.4175284364
168	0.4173854728
169	0.4172579387
170	0.4171976073
171	0.416940524
172	0.4168790789
173	0.4167799153
174	0.4167134972
175	0.4165572147
176	0.416434704
177	0.4163216561
178	0.4162635681
179	0.4161448563
180	0.4160938864
181	0.416016188
182	0.4158389866
183	0.415709385
184	0.4156347338
185	0.4154104322
186	0.4153520477
187	0.4151450848
188	0.4150802649
189	0.4150277926
190	0.4149122903
191	0.4148348426
192	0.4147110578
193	0.4145142984
194	0.414368483
195	0.4143360276
196	0.4142399305
197	0.4141850543
198	0.4141254082
199	0.4140437639
200	0.4138982053
201	0.4137754792
202	0.4137388806
203	0.4136727775
204	0.4136322924
205	0.4135978621
206	0.4135495832
207	0.4134992786
208	0.4133843685
209	0.4133285542
210	0.4132770518
211	0.413219408
212	0.4131120568
213	0.4130483678
214	0.4128431439
215	0.4127718902
216	0.4127208241
217	0.4126839905
218	0.4125500816
219	0.4125049212
220	0.4124011701
221	0.4123492594
222	0.4122352743
223	0.4121743644
224	0.4121195203
225	0.4120699456
226	0.4120304789
227	0.4119654977
228	0.4119190258
229	0.4118249531
230	0.4117913213
231	0.4117240872
232	0.4116750988
233	0.4116301771
234	0.411517889
235	0.4114314943
236	0.4113066002
237	0.4112598426
238	0.4112124802
239	0.4111485625
240	0.4111096882
241	0.4110611291
242	0.4109887924
243	0.4108605398
244	0.4108326028
245	0.4108043497
246	0.4107659056
247	0.4107348251
248	0.4107043442
249	0.4106761101
250	0.4106514831
251	0.4105826396
252	0.4105176707
253	0.4104764576
254	0.4103871828
255	0.4103547254
256	0.4103135545
257	0.4102906011
258	0.4101935687
259	0.4101580717
260	0.4100206884
261	0.409998728
262	0.4098857069
263	0.409855486
264	0.409827117
265	0.4097839224
266	0.4097622718
267	0.4097027527
268	0.409683808
269	0.4095760916
270	0.4095469003
271	0.4094719958
272	0.409396434
273	0.4093486483
274	0.4093090688
275	0.4092532775
276	0.409227047
277	0.4091881591
278	0.409167836
279	0.4090755513
280	0.4090262283
281	0.4089792872
282	0.4089484874
283	0.4089026664
284	0.4088152683
285	0.4087189346
286	0.4086600012
287	0.4086299039
288	0.4085323343
289	0.4084988049
290	0.4084713703
291	0.4084423035
292	0.4083751153
293	0.4083264582
294	0.4082796091
295	0.4082504989
296	0.4082033102
297	0.4081584331
298	0.4080765154
299	0.4080235994
300	0.4079922843
301	0.407971875
302	0.4079051072
303	0.4078712586
304	0.4078030901
305	0.4077308141
306	0.4076818674
307	0.4075980423
308	0.407568285
309	0.4075050665
310	0.4074202504
311	0.407395619
312	0.4073886209
313	0.4073473644
314	0.4072955912
315	0.4072865129
316	0.4072636935
317	0.407241538
318	0.4071826521
319	0.4071560271
320	0.4071184499
321	0.4070696011
322	0.4070413673
323	0.4070179065
324	0.4069322799
325	0.4069209795
326	0.4068468769
