,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
16,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)",[0.80526427 0.83440351 0.82173769 0.82475303],0.8215396237584363,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15')",0.016826190888483066,0.010496810278058395,0.006060336239669445
15,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15)",[0.8105149  0.83889559 0.81799528 0.82857734],0.823995777401205,"('0', '1', '2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '13', '14', '15')",0.017203791187871274,0.010732371536686993,0.006196337595749312
14,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15)",[0.81019192 0.83358865 0.82595123 0.82436705],0.8235247149704052,"('0', '1', '2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '14', '15')",0.013545993864010723,0.008450500090046381,0.004878898501775235
13,"(0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15)",[0.81037119 0.8312315  0.82172732 0.82919107],0.8231302681255127,"('0', '2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '14', '15')",0.01309954551907127,0.008171988832992342,0.004718099952542744
12,"(0, 2, 3, 4, 5, 7, 8, 9, 10, 12, 14, 15)",[0.81449288 0.83719032 0.82181917 0.82634132],0.8249609220361417,"('0', '2', '3', '4', '5', '7', '8', '9', '10', '12', '14', '15')",0.013192111339854602,0.008229734871025256,0.004751439643145681
11,"(0, 2, 3, 5, 7, 8, 9, 10, 12, 14, 15)",[0.8083059  0.83559913 0.82420744 0.82828157],0.8240985103465591,"('0', '2', '3', '5', '7', '8', '9', '10', '12', '14', '15')",0.016013386353158618,0.009989752260174747,0.005767586156549562
10,"(0, 2, 3, 5, 8, 9, 10, 12, 14, 15)",[0.80658433 0.83211599 0.82548454 0.82210441],0.8215723174062792,"('0', '2', '3', '5', '8', '9', '10', '12', '14', '15')",0.01502441947191038,0.009372797549952643,0.005411387188525024
